gene_id,gene_symbol,log2fc_x,q_value_x,is_de_x,log2fc_y,q_value_y,is_de_y,comparison_id_x,comparison_id_y,sign_concordant,significance_class
ENSG00000099889,ARVCF,0.41682489096225656,0.0279505045782365,True,0.4332970137571838,0.010367395853976683,True,ckd_vs_normal,aki_vs_normal,True,both_sig
ENSG00000004848,ARX,0.018955917498897967,0.7346465775494085,False,0.15912381585450172,0.5617123360174937,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000214435,AS3MT,0.18359633752108054,0.2376367172155515,False,-0.04407579836024724,0.8290835933698353,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000104763,ASAH1,-0.2878193306485309,0.09801715613047256,False,-0.167804226532991,0.3873754104293204,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000188611,ASAH2,0.03638171747359514,0.8323535210395252,False,-0.14093186724026316,0.5501413351726784,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000204147,ASAH2B,-0.09549061039791018,0.48026502023524986,False,0.07623332019459163,0.5613965038223999,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000153317,ASAP1,-0.016944824071730147,0.924712098271397,False,0.19042327873109732,0.14226047006126913,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000280543,ASAP1-IT2,0.006937660250007293,0.9664980938147724,False,-0.018279920280581525,0.9389519083162129,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000151693,ASAP2,0.19329857089152835,0.13961865282187103,False,-0.24324225794271842,0.02693666209624698,True,ckd_vs_normal,aki_vs_normal,False,y_only_sig
ENSG00000088280,ASAP3,-0.017500054407189828,0.9256473351135663,False,-0.2638066507545254,0.05265844693129982,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000065802,ASB1,0.12571424741695064,0.2326023296172183,False,0.21792914750542192,0.014543283873690976,True,ckd_vs_normal,aki_vs_normal,True,y_only_sig
ENSG00000146926,ASB10,0.07534353098796667,0.34327979067071746,False,0.010612248907334297,0.9896015248510179,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000165192,ASB11,-0.057281640232381366,0.7694335482796983,False,0.3427747325181972,0.11385952198550271,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000198881,ASB12,-0.005640718744927021,0.9636067876143095,False,-0.1320322045462136,0.5366957774701218,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000196372,ASB13,0.18349671977902987,0.19579448027602694,False,-0.025339903632758752,0.8981317865938401,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000239388,ASB14,-0.0742649054678469,0.6509692756017027,False,0.014331332990375216,0.9638660042521059,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000146809,ASB15,0.09896477314198343,0.3394968315590177,False,-0.079975101788102,0.770795230344544,False,ckd_vs_normal,aki_vs_normal,False,neither_sig
ENSG00000161664,ASB16,0.15860900117514423,0.31000489923962204,False,0.050556703869085944,0.8195266402445374,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000267080,ASB16-AS1,0.06303496834630161,0.6636845444512863,False,0.01225818531735825,0.9371284728033362,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
ENSG00000154007,ASB17,0.15980196201737523,0.2342723051617745,False,0.30056716591161997,0.21648670983886578,False,ckd_vs_normal,aki_vs_normal,True,neither_sig
