table_id,gene_set,n_curated_in_gene_set_definition,n_present_in_atlas,n_tested_this_comparison,n_significant_q0.05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
targeted_SubclassLevel1_FIB_aki_vs_ckd,inflammasome,57,56,50,4,35,82,8328,17297
targeted_SubclassLevel1_FIB_aki_vs_normal,inflammasome,57,56,54,15,35,81,8328,54966
targeted_SubclassLevel1_FIB_ckd_vs_normal,inflammasome,57,56,54,12,82,81,17297,54966
targeted_SubclassLevel1_IC_aki_vs_ckd,inflammasome,57,56,50,2,36,84,7325,19818
targeted_SubclassLevel1_IC_aki_vs_normal,inflammasome,57,56,55,2,36,85,7325,51657
targeted_SubclassLevel1_IC_ckd_vs_normal,inflammasome,57,56,56,3,84,85,19818,51657
targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,inflammasome,57,56,54,1,35,66,7275,13392
targeted_SubclassLevel1_Lymphoid_aki_vs_normal,inflammasome,57,56,54,4,35,54,7275,12176
targeted_SubclassLevel1_Lymphoid_ckd_vs_normal,inflammasome,57,56,53,2,66,54,13392,12176
targeted_SubclassLevel1_Myeloid_aki_vs_ckd,inflammasome,57,56,56,5,38,76,7631,12960
targeted_SubclassLevel1_Myeloid_aki_vs_normal,inflammasome,57,56,56,16,38,63,7631,16855
targeted_SubclassLevel1_Myeloid_ckd_vs_normal,inflammasome,57,56,56,13,76,63,12960,16855
targeted_SubclassLevel1_PC_aki_vs_ckd,inflammasome,57,56,53,2,35,86,10719,24717
targeted_SubclassLevel1_PC_aki_vs_normal,inflammasome,57,56,56,5,35,86,10719,102776
targeted_SubclassLevel1_PC_ckd_vs_normal,inflammasome,57,56,56,7,86,86,24717,102776
targeted_SubclassLevel1_PEC_aki_vs_ckd,inflammasome,57,56,44,1,22,45,1624,2636
targeted_SubclassLevel1_PEC_aki_vs_normal,inflammasome,57,56,47,4,22,54,1624,8510
targeted_SubclassLevel1_PEC_ckd_vs_normal,inflammasome,57,56,46,1,45,54,2636,8510
targeted_SubclassLevel1_POD_aki_vs_ckd,inflammasome,57,56,46,0,19,51,1746,4306
targeted_SubclassLevel1_POD_aki_vs_normal,inflammasome,57,56,45,0,19,59,1746,9086
targeted_SubclassLevel1_POD_ckd_vs_normal,inflammasome,57,56,47,0,51,59,4306,9086
targeted_SubclassLevel1_PT_aki_vs_ckd,inflammasome,57,56,56,3,40,93,39093,84847
targeted_SubclassLevel1_PT_aki_vs_normal,inflammasome,57,56,56,10,40,83,39093,220542
targeted_SubclassLevel1_PT_ckd_vs_normal,inflammasome,57,56,56,0,93,83,84847,220542
targeted_SubclassLevel1_TAL_aki_vs_ckd,inflammasome,57,56,56,7,38,93,29604,75777
targeted_SubclassLevel1_TAL_aki_vs_normal,inflammasome,57,56,56,14,38,86,29604,220995
targeted_SubclassLevel1_TAL_ckd_vs_normal,inflammasome,57,56,56,3,93,86,75777,220995
targeted_SubclassLevel1_VSM_P_aki_vs_ckd,inflammasome,57,56,43,0,15,61,1499,4644
targeted_SubclassLevel1_VSM_P_aki_vs_normal,inflammasome,57,56,47,1,15,70,1499,13074
targeted_SubclassLevel1_VSM_P_ckd_vs_normal,inflammasome,57,56,48,2,61,70,4644,13074
