score,covariate,type,kruskal_H,eta_squared_approx,p_value,n_groups
alternative_z,experiment_id,categorical,289124.85944037844,0.21136055635350826,0.0,308
alternative_z,donor_id,categorical,242393.61518162995,0.17721322243278168,0.0,223
classical_z,experiment_id,categorical,212103.6310637042,0.15499544890389413,0.0,308
classical_z,donor_id,categorical,182141.5182971562,0.13312271975672857,0.0,223
lectin_z,experiment_id,categorical,308682.4506834534,0.22567304857293127,0.0,308
lectin_z,donor_id,categorical,260680.70315815628,0.19059511191145345,0.0,223
receptor_z,experiment_id,categorical,207057.08693145096,0.15130232418673734,0.0,308
receptor_z,donor_id,categorical,172523.12360799196,0.12608429489335735,0.0,223
regulator_z,experiment_id,categorical,122662.61437679856,0.08954138354797292,0.0,308
regulator_z,donor_id,categorical,94299.04665005849,0.06884248833750452,0.0,223
terminal_z,experiment_id,categorical,176464.71750999437,0.12891444196359553,0.0,308
terminal_z,donor_id,categorical,147090.16400340723,0.10747329160070926,0.0,223
cfhr_z,experiment_id,categorical,356690.8066138873,0.26080616962969355,0.0,308
cfhr_z,donor_id,categorical,300537.66605362337,0.21976112637517214,0.0,223
production_score,experiment_id,categorical,242482.32377124488,0.17722695980976155,0.0,308
production_score,donor_id,categorical,207281.40668097787,0.1515192631697794,0.0,223
response_score,experiment_id,categorical,207057.08693145096,0.15130232418673734,0.0,308
response_score,donor_id,categorical,172523.12360799196,0.12608429489335735,0.0,223
activation_index,experiment_id,categorical,139149.44202761498,0.10160665219698564,0.0,308
activation_index,donor_id,categorical,102292.66755344259,0.0746919571868257,0.0,223
net_complement_load,experiment_id,categorical,199748.7829802076,0.14587042996446714,0.0,308
net_complement_load,donor_id,categorical,173088.12400425583,0.12642530523122728,0.0,223
